id,host_id,host_since,host_response_time_hours,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_name,latitude,longitude,property_type,room_type,nbr_accommodates,nbr_bathrooms,nbr_bedrooms,nbr_beds,list_amenities,price_CAD,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,nbr_of_reviews,nbr_of_reviews_ltm,nbr_of_reviews_l30d,availability_eoy,nbr_of_reviews_ly,estimated_occupancy_l365d,review_scores_rating,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,has_license,has_review,host_response_rate_missing,host_response_time_missing,host_acceptance_rate_missing,nbr_amenities,has_sauna,has_gym,has_air_conditioning,has_heating,has_free_parking,has_pool,has_hot_tub,has_balcony,has_fireplace,has_elevator,has_view,has_dishwasher,is_entire_place,is_private_room,has_shared_bath,dist_to_PVM_km,hosting_years,log_price
816651728593821020,15200840,2014-05-06,1.0,1.0,1.0,1.0,36,53,"['email', 'phone', 'work_email']",1,1,Le Plateau-Mont-Royal,45.52375,-73.58289,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,"[""Hair dryer"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Wifi"", ""Patio or balcony"", ""Toaster"", ""Dryer"", ""Extra pillows and blankets"", ""Kitchen"", ""Self check-in"", ""Stove"", ""Shampoo"", ""Free street parking"", ""Paid parking off premises"", ""Oven"", ""Iron"", ""TV"", ""Cooking basics"", ""Essentials"", ""Hangers"", ""Bed linens"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Heating"", ""Refrigerator"", ""Coffee maker"", ""Lockbox"", ""Fire extinguisher"", ""Bathtub"", ""Smoke alarm"", ""Dishes and silverware"", ""Hot water"", ""Microwave"", ""Dedicated workspace"", ""Long term stays allowed"", ""Dishwasher"", ""Room-darkening shades"", ""Washer""]",231.0,1,120,1.0,23,53,83,355,98,28,3,182,33,168,4.9,1,36,36,0,0,3.38,1,1,0,0,0,38,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2.9505667516767544,11.117808219178082,5.44673737166631
816654244813690688,15200840,2014-05-06,1.0,1.0,1.0,1.0,36,53,"['email', 'phone', 'work_email']",1,1,Le Plateau-Mont-Royal,45.52375,-73.58289,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,"[""Bed linens"", ""TV"", ""Hot water kettle"", ""Smoke alarm"", ""Dishes and silverware"", ""Dishwasher"", ""Fire extinguisher"", ""Refrigerator"", ""Toaster"", ""Self check-in"", ""Essentials"", ""Long term stays allowed"", ""Microwave"", ""Extra pillows and blankets"", ""Dryer"", ""Heating"", ""Wifi"", ""Washer"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Hair dryer"", ""Paid parking off premises"", ""Lockbox"", ""Room-darkening shades"", ""Oven"", ""Free street parking"", ""Hot water"", ""Patio or balcony"", ""Hangers"", ""Dedicated workspace"", ""Coffee maker"", ""Kitchen"", ""Carbon monoxide alarm"", ""Iron"", ""Shampoo"", ""Air conditioning"", ""Stove"", ""Bathtub""]",244.0,1,120,1.0,28,54,84,356,133,45,1,182,63,255,4.86,1,36,36,0,0,4.6,1,1,0,0,0,38,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2.9505667516767544,11.117808219178082,5.501258210544727
816656365198942579,15200840,2014-05-06,1.0,1.0,1.0,1.0,36,53,"['email', 'phone', 'work_email']",1,1,Le Plateau-Mont-Royal,45.52375,-73.58289,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,"[""Hair dryer"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Wifi"", ""Patio or balcony"", ""Toaster"", ""Dryer"", ""Extra pillows and blankets"", ""Kitchen"", ""Self check-in"", ""Stove"", ""Shampoo"", ""Free street parking"", ""Paid parking off premises"", ""Oven"", ""Iron"", ""TV"", ""Cooking basics"", ""Essentials"", ""Hangers"", ""Bed linens"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Heating"", ""Refrigerator"", ""Coffee maker"", ""Lockbox"", ""Fire extinguisher"", ""Bathtub"", ""Smoke alarm"", ""Dishes and silverware"", ""Hot water"", ""Microwave"", ""Dedicated workspace"", ""Long term stays allowed"", ""Dishwasher"", ""Room-darkening shades"", ""Washer""]",244.0,1,120,1.0,30,60,90,361,126,46,2,189,59,255,4.81,1,36,36,0,0,4.34,1,1,0,0,0,38,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2.9505667516767544,11.117808219178082,5.501258210544727
816658998252619348,15200840,2014-05-06,1.0,1.0,1.0,1.0,36,53,"['email', 'phone', 'work_email']",1,1,Le Plateau-Mont-Royal,45.52375,-73.58289,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,"[""Hair dryer"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Wifi"", ""Patio or balcony"", ""Toaster"", ""Dryer"", ""Extra pillows and blankets"", ""Kitchen"", ""Self check-in"", ""Stove"", ""Shampoo"", ""Free street parking"", ""Paid parking off premises"", ""Oven"", ""Iron"", ""TV"", ""Cooking basics"", ""Essentials"", ""Hangers"", ""Bed linens"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Heating"", ""Refrigerator"", ""Coffee maker"", ""Lockbox"", ""Fire extinguisher"", ""Bathtub"", ""Smoke alarm"", ""Dishes and silverware"", ""Hot water"", ""Microwave"", ""Dedicated workspace"", ""Long term stays allowed"", ""Dishwasher"", ""Room-darkening shades"", ""Washer""]",252.0,1,120,1.0,26,56,86,358,162,46,3,185,74,255,4.77,1,36,36,0,0,5.57,1,1,0,0,0,38,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2.9505667516767544,11.117808219178082,5.53338948872752
816659619533371019,15200840,2014-05-06,1.0,1.0,1.0,1.0,36,53,"['email', 'phone', 'work_email']",1,1,Le Plateau-Mont-Royal,45.52375,-73.58289,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Hair dryer"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Wifi"", ""Patio or balcony"", ""Toaster"", ""Dryer"", ""Extra pillows and blankets"", ""Kitchen"", ""Self check-in"", ""Stove"", ""Shampoo"", ""Paid parking off premises"", ""Oven"", ""Iron"", ""TV"", ""Cooking basics"", ""Essentials"", ""Hangers"", ""Bed linens"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Heating"", ""Refrigerator"", ""Coffee maker"", ""Lockbox"", ""Smoke alarm"", ""Dishes and silverware"", ""Hot water"", ""Microwave"", ""Dedicated workspace"", ""Long term stays allowed"", ""Dishwasher"", ""Room-darkening shades"", ""Washer""]",168.0,1,120,1.0,18,44,74,346,177,77,7,174,69,255,4.79,1,36,36,0,0,6.08,1,1,0,0,0,35,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2.9505667516767544,11.117808219178082,5.1298987149230735
816660766672788171,15200840,2014-05-06,1.0,1.0,1.0,1.0,36,53,"['email', 'phone', 'work_email']",1,1,Le Plateau-Mont-Royal,45.52375,-73.58289,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,"[""Hair dryer"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Wifi"", ""Patio or balcony"", ""Toaster"", ""Dryer"", ""Extra pillows and blankets"", ""Kitchen"", ""Self check-in"", ""Stove"", ""Shampoo"", ""Free street parking"", ""Paid parking off premises"", ""Oven"", ""Iron"", ""TV"", ""Cooking basics"", ""Essentials"", ""Hangers"", ""Bed linens"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Heating"", ""Refrigerator"", ""Coffee maker"", ""Lockbox"", ""Fire extinguisher"", ""Bathtub"", ""Smoke alarm"", ""Dishes and silverware"", ""Hot water"", ""Microwave"", ""Dedicated workspace"", ""Long term stays allowed"", ""Dishwasher"", ""Room-darkening shades"", ""Washer""]",231.0,1,120,1.0,27,57,82,354,128,36,0,181,49,216,4.83,1,36,36,0,0,4.4,1,1,0,0,0,38,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2.9505667516767544,11.117808219178082,5.44673737166631
816661915862092522,15200840,2014-05-06,1.0,1.0,1.0,1.0,36,53,"['email', 'phone', 'work_email']",1,1,Le Plateau-Mont-Royal,45.52375,-73.58289,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Hair dryer"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Wifi"", ""Patio or balcony"", ""Toaster"", ""Dryer"", ""Extra pillows and blankets"", ""Kitchen"", ""Self check-in"", ""Stove"", ""Shampoo"", ""Paid parking off premises"", ""Oven"", ""Iron"", ""TV"", ""Cooking basics"", ""Essentials"", ""Hangers"", ""Bed linens"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Heating"", ""Refrigerator"", ""Coffee maker"", ""Lockbox"", ""Smoke alarm"", ""Dishes and silverware"", ""Hot water"", ""Microwave"", ""Dedicated workspace"", ""Long term stays allowed"", ""Dishwasher"", ""Room-darkening shades"", ""Washer""]",194.0,1,120,1.0,19,47,72,344,142,43,1,170,65,255,4.8,1,36,36,0,0,4.87,1,1,0,0,0,35,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2.9505667516767544,11.117808219178082,5.272999558563747
816664313077866869,15200840,2014-05-06,1.0,1.0,1.0,1.0,36,53,"['email', 'phone', 'work_email']",1,1,Le Plateau-Mont-Royal,45.523748,-73.582889,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"[""Hair dryer"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Wifi"", ""Patio or balcony"", ""Toaster"", ""Dryer"", ""Kitchen"", ""Self check-in"", ""Stove"", ""Shampoo"", ""Paid parking off premises"", ""Oven"", ""Iron"", ""TV"", ""Cooking basics"", ""Essentials"", ""Hangers"", ""Bed linens"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Heating"", ""Refrigerator"", ""Coffee maker"", ""Lockbox"", ""Fire extinguisher"", ""Smoke alarm"", ""Dishes and silverware"", ""Hot water"", ""Microwave"", ""Dedicated workspace"", ""Long term stays allowed"", ""Dishwasher"", ""Room-darkening shades"", ""Washer""]",157.0,1,120,1.0,23,53,78,350,171,64,1,176,69,255,4.89,1,36,36,0,0,5.94,1,1,0,0,0,35,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2.9503311113661868,11.117808219178082,5.062595033026967
816665790763114713,15200840,2014-05-06,1.0,1.0,1.0,1.0,36,53,"['email', 'phone', 'work_email']",1,1,Le Plateau-Mont-Royal,45.523748,-73.582889,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"[""Hair dryer"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Wifi"", ""Patio or balcony"", ""Toaster"", ""Dryer"", ""Kitchen"", ""Self check-in"", ""Stove"", ""Shampoo"", ""Paid parking off premises"", ""Oven"", ""Iron"", ""TV"", ""Cooking basics"", ""Essentials"", ""Hangers"", ""Bed linens"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Heating"", ""Refrigerator"", ""Coffee maker"", ""Lockbox"", ""Fire extinguisher"", ""Smoke alarm"", ""Dishes and silverware"", ""Hot water"", ""Microwave"", ""Dedicated workspace"", ""Long term stays allowed"", ""Dishwasher"", ""Room-darkening shades"", ""Washer""]",176.0,1,120,1.0,16,46,71,343,185,67,3,170,76,255,4.87,1,36,36,0,0,6.35,1,1,0,0,0,35,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2.9503311113661868,11.117808219178082,5.176149732573829
816666857751269132,15200840,2014-05-06,1.0,1.0,1.0,1.0,36,53,"['email', 'phone', 'work_email']",1,1,Le Plateau-Mont-Royal,45.52375,-73.58289,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,"[""Hair dryer"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Wifi"", ""Patio or balcony"", ""Toaster"", ""Dryer"", ""Extra pillows and blankets"", ""Kitchen"", ""Self check-in"", ""Stove"", ""Shampoo"", ""Free street parking"", ""Paid parking off premises"", ""Oven"", ""Iron"", ""TV"", ""Cooking basics"", ""Essentials"", ""Hangers"", ""Bed linens"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Heating"", ""Refrigerator"", ""Coffee maker"", ""Lockbox"", ""Fire extinguisher"", ""Bathtub"", ""Smoke alarm"", ""Dishes and silverware"", ""Hot water"", ""Microwave"", ""Dedicated workspace"", ""Long term stays allowed"", ""Dishwasher"", ""Room-darkening shades"", ""Washer""]",231.0,1,120,1.0,27,57,82,354,131,38,3,180,49,228,4.88,1,36,36,0,0,4.53,1,1,0,0,0,38,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2.9505667516767544,11.117808219178082,5.44673737166631
